02:57:28.739512 [queue=1] packet #1000, 127.0.0.1:8098 -> 127.0.0.1:8007, sz=0 is delayed for 41.5ms
02:57:28.786259 [queue=0] packet #1000, 127.0.0.1:8098 -> 127.0.0.1:8007, sz=0 is delivered
02:57:39.442947 [queue=1] packet #1000, 127.0.0.1:8098 -> 127.0.0.1:8007, sz=0 is delayed for 34ms
02:57:39.477179 [queue=0] packet #1000, 127.0.0.1:8098 -> 127.0.0.1:8007, sz=0 is delivered
02:57:39.491264 [queue=1] packet #8000, 127.0.0.1:8007 -> 127.0.0.1:8098, sz=0 is delayed for 21ms
02:57:39.515026 [queue=0] packet #8000, 127.0.0.1:8007 -> 127.0.0.1:8098, sz=0 is delivered
02:57:39.525044 [queue=1] packet #8001, 127.0.0.1:8098 -> 127.0.0.1:8007, sz=0 is delayed for 17.5ms
02:57:39.548067 [queue=0] packet #8001, 127.0.0.1:8098 -> 127.0.0.1:8007, sz=0 is delivered
02:57:39.551781 [queue=1] packet #1001, 127.0.0.1:8007 -> 127.0.0.1:8098, sz=0 is delayed for 12ms
02:57:39.566300 [queue=0] packet #1001, 127.0.0.1:8007 -> 127.0.0.1:8098, sz=0 is delivered

02:57:39.570362 [queue=1] packet #1001, 127.0.0.1:8098 -> 127.0.0.1:8007, sz=16 is delayed for 18.5ms
02:57:39.571091 [queue=2] packet #1002, 127.0.0.1:8098 -> 127.0.0.1:8007, sz=16 is delayed for 35.5ms
02:57:39.578758 [queue=3] packet #1003, 127.0.0.1:8098 -> 127.0.0.1:8007, sz=16 is delayed for 48.5ms
02:57:39.581709 [queue=4] packet #1004, 127.0.0.1:8098 -> 127.0.0.1:8007, sz=16 is delayed for 11.5ms
02:57:39.593346 [queue=3] packet #1001, 127.0.0.1:8098 -> 127.0.0.1:8007, sz=16 is delivered
02:57:39.593852 [queue=2] packet #1004, 127.0.0.1:8098 -> 127.0.0.1:8007, sz=16 is delivered
02:57:39.598400 [queue=3] packet #1001, 127.0.0.1:8007 -> 127.0.0.1:8098, sz=0 is delayed for 13ms
02:57:39.600027 [queue=4] packet #1004, 127.0.0.1:8007 -> 127.0.0.1:8098, sz=0 is delayed for 21ms
02:57:39.609827 [queue=3] packet #1002, 127.0.0.1:8098 -> 127.0.0.1:8007, sz=16 is delivered
02:57:39.612389 [queue=2] packet #1001, 127.0.0.1:8007 -> 127.0.0.1:8098, sz=0 is delivered
02:57:39.615292 [queue=3] packet #1002, 127.0.0.1:8007 -> 127.0.0.1:8098, sz=0 is delayed for 1ms
02:57:39.616772 [queue=2] packet #1002, 127.0.0.1:8007 -> 127.0.0.1:8098, sz=0 is delivered
02:57:39.618506 [queue=3] packet #1005, 127.0.0.1:8098 -> 127.0.0.1:8007, sz=16 is delayed for 23ms
02:57:39.619628 [queue=4] packet #1006, 127.0.0.1:8098 -> 127.0.0.1:8007, sz=16 is delayed for 40ms
